"","roleId","fromElementId","toElementId","arcrole","order","closed","usable","contextElement","preferredLabel","fromHref","toHref"
"1","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","ifrs_StatementOfChangesInEquityLineItems","tifrs-es_ChangesInNoncontrollingInterests","http://xbrl.org/int/dim/arcrole/domain-member","28.1",NA,NA,NA,NA,"../../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_StatementOfChangesInEquityLineItems","../tifrs-es-2014-03-31.xsd#tifrs-es_ChangesInNoncontrollingInterests"
"2","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_TotalEquityMember","tifrs-es_TotalEquityAttributableToOwnersOfParentMember","http://xbrl.org/int/dim/arcrole/domain-member","1.0",NA,NA,NA,NA,"../tifrs-es-2014-03-31.xsd#tifrs-es_TotalEquityMember","../tifrs-es-2014-03-31.xsd#tifrs-es_TotalEquityAttributableToOwnersOfParentMember"
"3","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_TotalEquityAttributableToOwnersOfParentMember","tifrs-es_TotalShareCapitalMember","http://xbrl.org/int/dim/arcrole/domain-member","1.0",NA,NA,NA,NA,"../tifrs-es-2014-03-31.xsd#tifrs-es_TotalEquityAttributableToOwnersOfParentMember","../tifrs-es-2014-03-31.xsd#tifrs-es_TotalShareCapitalMember"
"4","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_TotalShareCapitalMember","tifrs-es_OrdinaryShareMember","http://xbrl.org/int/dim/arcrole/domain-member","1.0",NA,NA,NA,NA,"../tifrs-es-2014-03-31.xsd#tifrs-es_TotalShareCapitalMember","../tifrs-es-2014-03-31.xsd#tifrs-es_OrdinaryShareMember"
"5","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_TotalShareCapitalMember","tifrs-es_PreferenceShareMember","http://xbrl.org/int/dim/arcrole/domain-member","2.0",NA,NA,NA,NA,"../tifrs-es-2014-03-31.xsd#tifrs-es_TotalShareCapitalMember","../tifrs-es-2014-03-31.xsd#tifrs-es_PreferenceShareMember"
"6","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_TotalShareCapitalMember","tifrs-es_CertificateOfEntitlementToNewSharesFromConvertibleBondMember","http://xbrl.org/int/dim/arcrole/domain-member","3.0",NA,NA,NA,NA,"../tifrs-es-2014-03-31.xsd#tifrs-es_TotalShareCapitalMember","../tifrs-es-2014-03-31.xsd#tifrs-es_CertificateOfEntitlementToNewSharesFromConvertibleBondMember"
"7","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_TotalShareCapitalMember","tifrs-es_AdvanceReceiptsForShareCapitalMember","http://xbrl.org/int/dim/arcrole/domain-member","4.0",NA,NA,NA,NA,"../tifrs-es-2014-03-31.xsd#tifrs-es_TotalShareCapitalMember","../tifrs-es-2014-03-31.xsd#tifrs-es_AdvanceReceiptsForShareCapitalMember"
"8","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_TotalShareCapitalMember","tifrs-es_StockDividendToBeDistributedMember","http://xbrl.org/int/dim/arcrole/domain-member","5.0",NA,NA,NA,NA,"../tifrs-es-2014-03-31.xsd#tifrs-es_TotalShareCapitalMember","../tifrs-es-2014-03-31.xsd#tifrs-es_StockDividendToBeDistributedMember"
"9","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_TotalShareCapitalMember","tifrs-es_Other-ShareCapitalMember","http://xbrl.org/int/dim/arcrole/domain-member","6.0",NA,NA,NA,NA,"../tifrs-es-2014-03-31.xsd#tifrs-es_TotalShareCapitalMember","../tifrs-es-2014-03-31.xsd#tifrs-es_Other-ShareCapitalMember"
"10","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_TotalEquityAttributableToOwnersOfParentMember","tifrs-es_CapitalSurplusMember","http://xbrl.org/int/dim/arcrole/domain-member","2.0",NA,NA,NA,NA,"../tifrs-es-2014-03-31.xsd#tifrs-es_TotalEquityAttributableToOwnersOfParentMember","../tifrs-es-2014-03-31.xsd#tifrs-es_CapitalSurplusMember"
