"","elementId","type","substitutionGroup","periodType","abstract","nillable","balance","ns"
"1","tifrs-ar_AccountantName","xbrli:stringItemType","xbrli:item","instant",NA,"true",NA,"http://www.xbrl.org/tifrs/ar/2014-03-31"
"2","tifrs-ar_AssuranceAccountantName1","xbrli:stringItemType","xbrli:item","instant",NA,"true",NA,"http://www.xbrl.org/tifrs/ar/2014-03-31"
"3","tifrs-ar_AssuranceAccountantName2","xbrli:stringItemType","xbrli:item","instant",NA,"true",NA,"http://www.xbrl.org/tifrs/ar/2014-03-31"
"4","tifrs-ar_AccountantsReport","xbrli:stringItemType","xbrli:item","instant","true","true",NA,"http://www.xbrl.org/tifrs/ar/2014-03-31"
"5","tifrs-ar_AccountingPrincipleChange","xbrli:stringItemType","xbrli:item","instant","false","true",NA,"http://www.xbrl.org/tifrs/ar/2014-03-31"
"6","tifrs-ar_AdverseOpinionAbstract","xbrli:stringItemType","xbrli:item","instant","false","true",NA,"http://www.xbrl.org/tifrs/ar/2014-03-31"
"7","tifrs-ar_ContainOtherAccountantsReport","xbrli:stringItemType","xbrli:item","instant","false","true",NA,"http://www.xbrl.org/tifrs/ar/2014-03-31"
"8","tifrs-ar_FinancialStatementsOfNonmajorSubsidiaryOrInvestmentAccountedForUsingEquityMethodHaveNotBeenAuditedOrReviewed","xbrli:stringItemType","xbrli:item","instant",NA,"true",NA,"http://www.xbrl.org/tifrs/ar/2014-03-31"
"9","tifrs-ar_DifferentReportOpinion","xbrli:stringItemType","xbrli:item","instant","false","true",NA,"http://www.xbrl.org/tifrs/ar/2014-03-31"
"10","tifrs-ar_DisclaimOpinionAbstract","xbrli:stringItemType","xbrli:item","instant","false","true",NA,"http://www.xbrl.org/tifrs/ar/2014-03-31"
"11","tifrs-ar_EmphasizeCertainImportantItem","xbrli:stringItemType","xbrli:item","instant","false","true",NA,"http://www.xbrl.org/tifrs/ar/2014-03-31"
"12","tifrs-ar_GoingConcernDoubt","xbrli:stringItemType","xbrli:item","instant","false","true",NA,"http://www.xbrl.org/tifrs/ar/2014-03-31"
