"","elementId","contextId","unitId","fact","decimals","scale","sign","factId","ns"
"1","tifrs-notes_Year","From20140101To20140630",NA,"2014",NA,NA,NA,NA,"http://www.xbrl.org/tifrs/notes/2014-03-31"
"2","tifrs-notes_Quarter","From20140101To20140630",NA,"2",NA,NA,NA,NA,"http://www.xbrl.org/tifrs/notes/2014-03-31"
"3","tifrs-notes_ReportType","From20140101To20140630",NA,"Financial report (general)",NA,NA,NA,NA,"http://www.xbrl.org/tifrs/notes/2014-03-31"
"4","tifrs-notes_ReportCategory","From20140101To20140630",NA,"Consolidated report",NA,NA,NA,NA,"http://www.xbrl.org/tifrs/notes/2014-03-31"
"5","tifrs-notes_Market","From20140101To20140630",NA,"Listed company",NA,NA,NA,NA,"http://www.xbrl.org/tifrs/notes/2014-03-31"
"6","tifrs-notes_IndustrySector","From20140101To20140630",NA,"Commercial and industrial",NA,NA,NA,NA,"http://www.xbrl.org/tifrs/notes/2014-03-31"
"7","ifrs_CashAndCashEquivalents","AsOf20140630","TWD","29177252000","-3",NA,NA,NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"8","ifrs_CashAndCashEquivalents","AsOf20131231","TWD","25711065000","-3",NA,NA,NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"9","ifrs_CashAndCashEquivalents","AsOf20130630","TWD","20171167000","-3",NA,NA,NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"10","tifrs-bsci-ci_CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss","AsOf20140630","TWD","175677000","-3",NA,NA,NA,"http://www.xbrl.org/tifrs/bsci/ci/2014-03-31"
"11","tifrs-bsci-ci_CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss","AsOf20131231","TWD","215182000","-3",NA,NA,NA,"http://www.xbrl.org/tifrs/bsci/ci/2014-03-31"
"12","tifrs-bsci-ci_CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss","AsOf20130630","TWD","275130000","-3",NA,NA,NA,"http://www.xbrl.org/tifrs/bsci/ci/2014-03-31"
"13","tifrs-bsci-ci_CurrentAvailableForSaleFinancialAssets","AsOf20140630","TWD","17961287000","-3",NA,NA,NA,"http://www.xbrl.org/tifrs/bsci/ci/2014-03-31"
"14","tifrs-bsci-ci_CurrentAvailableForSaleFinancialAssets","AsOf20131231","TWD","19165866000","-3",NA,NA,NA,"http://www.xbrl.org/tifrs/bsci/ci/2014-03-31"
"15","tifrs-bsci-ci_CurrentAvailableForSaleFinancialAssets","AsOf20130630","TWD","13111745000","-3",NA,NA,NA,"http://www.xbrl.org/tifrs/bsci/ci/2014-03-31"
"16","tifrs-bsci-ci_NotesReceivableNet","AsOf20140630","TWD","15920604000","-3",NA,NA,NA,"http://www.xbrl.org/tifrs/bsci/ci/2014-03-31"
"17","tifrs-bsci-ci_NotesReceivableNet","AsOf20131231","TWD","16589337000","-3",NA,NA,NA,"http://www.xbrl.org/tifrs/bsci/ci/2014-03-31"
"18","tifrs-bsci-ci_NotesReceivableNet","AsOf20130630","TWD","10870904000","-3",NA,NA,NA,"http://www.xbrl.org/tifrs/bsci/ci/2014-03-31"
