"","elementId","lang","labelRole","labelString","href"
"1","tifrs-ar_AccountantName","zh-tw","http://www.xbrl.org/2003/role/label","會計師事務所名稱","tifrs-ar-2014-03-31.xsd#tifrs-ar_AccountantName"
"2","tifrs-ar_AccountantName","en","http://www.xbrl.org/2003/role/label","Name of CPA Firm","tifrs-ar-2014-03-31.xsd#tifrs-ar_AccountantName"
"3","tifrs-ar_AccountantsReport","zh-tw","http://www.xbrl.org/2003/role/label","會計師查核報告","tifrs-ar-2014-03-31.xsd#tifrs-ar_AccountantsReport"
"4","tifrs-ar_AccountantsReport","en","http://www.xbrl.org/2003/role/label","Report of Independent Auditors","tifrs-ar-2014-03-31.xsd#tifrs-ar_AccountantsReport"
"5","tifrs-ar_AccountingPrincipleChange","zh-tw","http://www.xbrl.org/2003/role/label","會計原則變動","tifrs-ar-2014-03-31.xsd#tifrs-ar_AccountingPrincipleChange"
"6","tifrs-ar_AccountingPrincipleChange","en","http://www.xbrl.org/2003/role/label","Accounting Principle Change","tifrs-ar-2014-03-31.xsd#tifrs-ar_AccountingPrincipleChange"
"7","tifrs-ar_ContainOtherAccountantsReport","zh-tw","http://www.xbrl.org/2003/role/label","採用其他會計師查核（核閱）報告且欲區分責任","tifrs-ar-2014-03-31.xsd#tifrs-ar_ContainOtherAccountantsReport"
"8","tifrs-ar_ContainOtherAccountantsReport","en","http://www.xbrl.org/2003/role/label","Opinion Based on the Report of Another Auditor - Shared Responsibility","tifrs-ar-2014-03-31.xsd#tifrs-ar_ContainOtherAccountantsReport"
"9","tifrs-ar_DifferentReportOpinion","zh-tw","http://www.xbrl.org/2003/role/label","與前期財報意見不一致","tifrs-ar-2014-03-31.xsd#tifrs-ar_DifferentReportOpinion"
"10","tifrs-ar_DifferentReportOpinion","en","http://www.xbrl.org/2003/role/label","Opinion on Prior-period Financial Statements Different from the Opinion Previously Expressed","tifrs-ar-2014-03-31.xsd#tifrs-ar_DifferentReportOpinion"
"11","tifrs-ar_EmphasizeCertainImportantItem","zh-tw","http://www.xbrl.org/2003/role/label","欲強調某一事項","tifrs-ar-2014-03-31.xsd#tifrs-ar_EmphasizeCertainImportantItem"
"12","tifrs-ar_EmphasizeCertainImportantItem","en","http://www.xbrl.org/2003/role/label","Emphasis of Matter","tifrs-ar-2014-03-31.xsd#tifrs-ar_EmphasizeCertainImportantItem"
"13","tifrs-ar_GoingConcernDoubt","zh-tw","http://www.xbrl.org/2003/role/label","繼續經營假設有疑慮","tifrs-ar-2014-03-31.xsd#tifrs-ar_GoingConcernDoubt"
"14","tifrs-ar_GoingConcernDoubt","en","http://www.xbrl.org/2003/role/label","Substantial Doubt About the Entity's Ability to Continue as a Going Concern","tifrs-ar-2014-03-31.xsd#tifrs-ar_GoingConcernDoubt"
