"","roleId","fromElementId","toElementId","arcrole","order","closed","usable","contextElement","preferredLabel","fromHref","toHref"
"1","http://www.xbrl.org/tifrs/fr/role/BalanceSheet","ifrs_EquityAbstract","tifrs-bsci-ci_EquityAttributableToOwnersOfParentAbstract","http://www.xbrl.org/2003/arcrole/parent-child","1.0",NA,NA,NA,NA,"../../../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_EquityAbstract","../../../BSCI/tifrs-bsci-ci-2014-03-31.xsd#tifrs-bsci-ci_EquityAttributableToOwnersOfParentAbstract"
"2","http://www.xbrl.org/tifrs/fr/role/BalanceSheet","tifrs-bsci-ci_EquityAttributableToOwnersOfParentAbstract","tifrs-bsci-ci_ShareCapitalAbstract","http://www.xbrl.org/2003/arcrole/parent-child","1.0",NA,NA,NA,NA,"../../../BSCI/tifrs-bsci-ci-2014-03-31.xsd#tifrs-bsci-ci_EquityAttributableToOwnersOfParentAbstract","../../../BSCI/tifrs-bsci-ci-2014-03-31.xsd#tifrs-bsci-ci_ShareCapitalAbstract"
"3","http://www.xbrl.org/tifrs/fr/role/BalanceSheet","tifrs-bsci-ci_EquityAttributableToOwnersOfParentAbstract","tifrs-bsci-ci_CapitalSurplusAbstract","http://www.xbrl.org/2003/arcrole/parent-child","2.0",NA,NA,NA,NA,"../../../BSCI/tifrs-bsci-ci-2014-03-31.xsd#tifrs-bsci-ci_EquityAttributableToOwnersOfParentAbstract","../../../BSCI/tifrs-bsci-ci-2014-03-31.xsd#tifrs-bsci-ci_CapitalSurplusAbstract"
"4","http://www.xbrl.org/tifrs/fr/role/BalanceSheet","tifrs-bsci-ci_EquityAttributableToOwnersOfParentAbstract","tifrs-bsci-ci_RetainedEarningsAbstract","http://www.xbrl.org/2003/arcrole/parent-child","3.0",NA,NA,NA,NA,"../../../BSCI/tifrs-bsci-ci-2014-03-31.xsd#tifrs-bsci-ci_EquityAttributableToOwnersOfParentAbstract","../../../BSCI/tifrs-bsci-ci-2014-03-31.xsd#tifrs-bsci-ci_RetainedEarningsAbstract"
"5","http://www.xbrl.org/tifrs/fr/role/BalanceSheet","tifrs-bsci-ci_EquityAttributableToOwnersOfParentAbstract","tifrs-bsci-ci_OtherEquityInterestAbstract","http://www.xbrl.org/2003/arcrole/parent-child","4.0",NA,NA,NA,NA,"../../../BSCI/tifrs-bsci-ci-2014-03-31.xsd#tifrs-bsci-ci_EquityAttributableToOwnersOfParentAbstract","../../../BSCI/tifrs-bsci-ci-2014-03-31.xsd#tifrs-bsci-ci_OtherEquityInterestAbstract"
"6","http://www.xbrl.org/tifrs/fr/role/BalanceSheet","tifrs-bsci-ci_EquityAttributableToOwnersOfParentAbstract","ifrs_EquityAttributableToOwnersOfParent","http://www.xbrl.org/2003/arcrole/parent-child","6.0",NA,NA,NA,"http://www.xbrl.org/2003/role/totalLabel","../../../BSCI/tifrs-bsci-ci-2014-03-31.xsd#tifrs-bsci-ci_EquityAttributableToOwnersOfParentAbstract","../../../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_EquityAttributableToOwnersOfParent"
"7","http://www.xbrl.org/tifrs/fr/role/BalanceSheet","tifrs-bsci-ci_EquityAttributableToOwnersOfParentAbstract","ifrs_TreasuryShares","http://www.xbrl.org/2003/arcrole/parent-child","5.0",NA,NA,NA,NA,"../../../BSCI/tifrs-bsci-ci-2014-03-31.xsd#tifrs-bsci-ci_EquityAttributableToOwnersOfParentAbstract","../../../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_TreasuryShares"
"8","http://www.xbrl.org/tifrs/fr/role/BalanceSheet","ifrs_EquityAbstract","ifrs_NoncontrollingInterests","http://www.xbrl.org/2003/arcrole/parent-child","2.0",NA,NA,NA,NA,"../../../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_EquityAbstract","../../../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_NoncontrollingInterests"
"9","http://www.xbrl.org/tifrs/fr/role/BalanceSheet","ifrs_EquityAbstract","tifrs-bsci-ci_EquityAttributableToFomerOwnerOfBusinessCombinationUnderCommonControl","http://www.xbrl.org/2003/arcrole/parent-child","1.1",NA,NA,NA,NA,"../../../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_EquityAbstract","../../../BSCI/tifrs-bsci-ci-2014-03-31.xsd#tifrs-bsci-ci_EquityAttributableToFomerOwnerOfBusinessCombinationUnderCommonControl"
"10","http://www.xbrl.org/tifrs/fr/role/StatementOfComprehensiveIncome","ifrs_StatementOfComprehensiveIncomeAbstract","ifrs_ProfitLossAttributableToAbstract","http://www.xbrl.org/2003/arcrole/parent-child","15.0",NA,NA,NA,NA,"../../../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_StatementOfComprehensiveIncomeAbstract","../../../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_ProfitLossAttributableToAbstract"
